20e2ae8,4,4,4,4,2160
20f104d,4,2,1,-1,1440
20f5eeb,4,4,-1,-1,1080
21016f5,4,4,4,-1,1440
2113792,4,4,0,-1,1440
211b109,4,4,-1,-1,1080
2146fd8,4,4,4,4,2160
21a3d27,4,4,-1,-1,1080
21bdb0a,4,4,4,2,2160
21be5fa,4,4,4,0,2160
21cdc57,4,4,4,4,2160
21d93fb,4,4,4,1,2160
21debc3,4,4,4,-1,1440
21ecca5,4,4,-1,-1,1080
21fb0fd,3,3,-1,-1,1080
2212794,4,4,-1,-1,1080
224ad07,4,4,4,-1,1440
224bd95,4,4,0,0,2160
226457e,4,4,-1,-1,1080
2272dc5,4,4,4,1,2160
227f69f,4,3,-1,-1,1080
2283747,1,3,-1,-1,1080
2292c03,4,2,-1,-1,1080
22d0b4c,4,4,4,4,2160
230c6e5,4,4,-1,-1,1080
233b17f,4,3,-1,-1,1080
2352e48,4,4,-1,-1,1080
235fa1c,4,4,4,4,2160
23748a5,4,4,-1,-1,1080
239ea4f,2,3,-1,-1,1080
23a3244,4,4,-1,-1,1080
23aaa95,4,4,-1,-1,1080
23b2290,4,4,4,2,2160
23efd2e,3,3,-1,-1,1080
23fa934,4,1,0,-1,1440
23fe5d1,4,1,3,-1,1440
240b6d7,4,4,4,4,2160
240dce2,4,4,4,4,2160
2428183,4,4,-1,-1,1080
244a5d2,4,4,0,0,2160
2465916,4,4,-1,-1,1080
246d369,1,4,-1,-1,1080
246ea41,4,4,0,-1,1440
24d0f86,4,4,-1,-1,1080
24d485c,4,4,4,1,2160
24ef84e,4,4,-1,-1,1080
25000b6,4,4,-1,-1,1080
25283f9,4,4,4,4,2160
2535461,4,4,-1,-1,1080
254021d,4,4,-1,-1,1080
2552ae0,4,4,-1,-1,1080
255e43f,4,4,-1,-1,1080
2565d2d,4,4,-1,-1,1080
257097a,4,3,-1,-1,1080
257376d,4,4,4,4,2160
259f3bb,4,4,4,4,2160
25cb174,4,3,-1,-1,1080
25cc985,3,3,4,-1,1440
